Region,Sector,GWP100 [kg CO2-eq/unit output]
AT,Paddy rice,0.0
AT,Wheat,748228.8394668689
AT,Cereal grains nec,330804.4196107326
AT,"Vegetables, fruit, nuts",138292.54602510048
AT,Oil seeds,353385.95644789835
AT,"Sugar cane, sugar beet",257655.41911133588
AT,Plant-based fibers,20399.665054766163
AT,Crops nec,235646.7973823003
AT,Cattle,430182.1654105634
AT,Pigs,222700.82332984975
AT,Poultry,193431.84701757153
AT,Meat animals nec,285660.07731956476
AT,Animal products nec,313687.03271197
AT,Raw milk,191187.51828468038
AT,"Wool, silk-worm cocoons",162803.45858117467
AT,Manure (conventional treatment),0.0
AT,Manure (biogas treatment),0.0
AT,"Products of forestry, logging and related services (02)",157462.4879496072
AT,Fish and other fishing products; services incidental of fishing (05),179732.95217999927
AT,Anthracite,0.0
AT,Coking Coal,157232.73357478794
AT,Other Bituminous Coal,157261.35246979748
AT,Sub-Bituminous Coal,157232.7278573408
AT,Patent Fuel,48832.26239928969
AT,Lignite/Brown Coal,157232.72935803424
AT,BKB/Peat Briquettes,157232.72606460063
AT,Peat,20800070.376824126
AT,"Crude petroleum and services related to crude oil extraction, excluding surveying",404418.0534657553
AT,"Natural gas and services related to natural gas extraction, excluding surveying",1430368.863815771
AT,Natural Gas Liquids,1414412.395084865
AT,Other Hydrocarbons,0.0
AT,Uranium and thorium ores (12),0.0
AT,Iron ores,254783.6164878314
AT,Copper ores and concentrates,157232.72847317441
AT,Nickel ores and concentrates,0.0
AT,Aluminium ores and concentrates,0.0
AT,Precious metal ores and concentrates,157232.72833182014
AT,"Lead, zinc and tin ores and concentrates",157232.72859933102
AT,Other non-ferrous metal ores and concentrates,113287.99257400715
AT,Stone,319342.3754450801
AT,Sand and clay,286728.5029045493
AT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",252391.3544139164
AT,Products of meat cattle,281257.96029366355
AT,Products of meat pigs,198348.47410648098
AT,Products of meat poultry,99575.4356125992
AT,Meat products nec,159248.9937210238
AT,products of Vegetable oils and fats,83311.60577099264
AT,Dairy products,215915.12193476927
AT,Processed rice,5345015.318928472
AT,Sugar,137912.795683312
AT,Food products nec,146519.2311976428
AT,Beverages,207689.77888478182
AT,Fish products,208298.75911116684
AT,Tobacco products (16),257853.53154788763
AT,Textiles (17),270747.6546776959
AT,Wearing apparel; furs (18),160969.14552844752
AT,Leather and leather products (19),171101.76619921238
AT,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),237854.54941924044
AT,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
AT,Pulp,329679.209525279
AT,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
AT,Paper and paper products,411357.7708530102
AT,Printed matter and recorded media (22),248371.02940594882
AT,Coke Oven Coke,4776544.413617484
AT,Gas Coke,0.0
AT,Coal Tar,4784964.651577701
AT,Motor Gasoline,1116010.206563277
AT,Aviation Gasoline,166585.31402530769
AT,Gasoline Type Jet Fuel,474238.8082828512
AT,Kerosene Type Jet Fuel,1115997.0454792248
AT,Kerosene,740515.9077931901
AT,Gas/Diesel Oil,1115964.3355377559
AT,Heavy Fuel Oil,1115886.4517561907
AT,Refinery Gas,1115350.914827366
AT,Liquefied Petroleum Gases (LPG),1116028.1685197193
AT,Refinery Feedstocks,1116028.3079375206
AT,Ethane,166585.3118573702
AT,Naphtha,1115613.3641710775
AT,White Spirit & SBP,1115971.444313233
AT,Lubricants,1116119.544007521
AT,Bitumen,1115832.344548918
AT,Paraffin Waxes,166585.31182667438
AT,Petroleum Coke,1116131.3013939946
AT,Non-specified Petroleum Products,1142471.5588372478
AT,Nuclear fuel,18013935.121857986
AT,"Plastics, basic",394927.9599265523
AT,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
AT,N-fertiliser,355177.8820521643
AT,P- and other fertiliser,1057370.0327438253
AT,Chemicals nec,466975.7848430949
AT,Charcoal,162687.2452491833
AT,Additives/Blending Components,416955.4730648349
AT,Biogasoline,426099.61147986184
AT,Biodiesels,712189.6779343133
AT,Other Liquid Biofuels,486116.2983208048
AT,Rubber and plastic products (25),215980.0804004619
AT,Glass and glass products,413479.33165181224
AT,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
AT,Ceramic goods,483040.33702275174
AT,"Bricks, tiles and construction products, in baked clay",476885.5827690474
AT,"Cement, lime and plaster",395445.4487525909
AT,"Ash for treatment, Re-processing of ash into clinker",0.0
AT,Other non-metallic mineral products,759752.2787802378
AT,Basic iron and steel and of ferro-alloys and first products thereof,619047.801294821
AT,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
AT,Precious metals,217519.452800495
AT,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
AT,Aluminium and aluminium products,332602.66087565053
AT,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
AT,"Lead, zinc and tin and products thereof",500138.74476551503
AT,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
AT,Copper products,448307.4406988403
AT,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
AT,Other non-ferrous metal products,260012.25157263246
AT,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
AT,Foundry work services,630513.7440882337
AT,"Fabricated metal products, except machinery and equipment (28)",184227.31938038277
AT,Machinery and equipment n.e.c. (29),163067.7945967696
AT,Office machinery and computers (30),213294.69755601097
AT,Electrical machinery and apparatus n.e.c. (31),209198.65864932517
AT,"Radio, television and communication equipment and apparatus (32)",202594.730971792
AT,"Medical, precision and optical instruments, watches and clocks (33)",153983.44672027297
